Country,EIC,BZN,Latitude,Longitude
Estonia,10Y1001A1001A39I,EE,59.35,24.80
Latvia,10YLV-1001A00074,LV,56.95,24.11
Lithuania,10YLT-1001A0008Q,LT,54.66,25.26
Poland,"10YPL-AREA-----S	",PL,52.24,20.97
Germany,10Y1001A1001A82H,DE-LU,52.60,13.34
Denmark,10YDK-1--------W,DK1,56.00,9.16
Denmark,10YDK-2--------M,DK2,55.70,12.42
Sweden,10Y1001A1001A44P,SE1,66.41,20.00
Sweden,10Y1001A1001A45N,SE2,63.43,16.58
Sweden,10Y1001A1001A46L,SE3,59.24,18.02
Sweden,10Y1001A1001A47J,SE4,56.98,14.42
Norway,10YNO-1--------2,NO1,59.84,10.80
Norway,10YNO-2--------T,NO2,58.99,7.49
Norway,10YNO-3--------J,NO3,63.26,10.32
Norway,10YNO-4--------9,NO4,67.01,14.55
Norway,10Y1001A1001A48H,NO5,60.53,6.00
Finland,10YFI-1--------U,FI,60.36,24.91